Date,SeasonNumber,Player,MatchId,Map,Category,Playlist,PreCsr,PostCsr,Rank,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds,Win,Loss,Draw
2024-08-23 14:48:30,8.0,Zaidster7,b8a8f84c-90ac-4fdf-9780-2e95c6a1e11f,Recharge - Ranked,Strongholds,Ranked Arena,1512,1504,5,Loss,50.0,5311,5978,188,94,94,0.95,1.0,18,5.0,0.0,6.0,0.0,0.0,0.0,0.0,19,6,0,0,3,0,0,17.0,19.0,2300.0,0,8,697,0,1,0
2024-08-23 15:10:05,8.0,Zaidster7,5a946344-385c-44a8-83c7-625ad4daa1e3,Streets - Ranked,Oddball,Ranked Arena,1504,1500,6,Loss,61.29,5662,5763,186,114,72,0.6,-4.33,12,3.0,0.0,5.0,0.0,0.0,0.0,2.0,20,11,0,0,4,0,0,17.0,17.0,1840.0,0,7,632,0,1,0
2024-08-23 15:22:09,8.0,Zaidster7,18f06eda-3dfc-4c0e-a317-4f06e900bf5d,Streets - Ranked,Slayer,Ranked Arena,1500,1500,5,Left,56.67,1539,1352,60,34,26,1.2,1.66,6,1.0,0.0,5.0,0.0,0.0,0.0,1.0,5,2,0,0,2,0,0,5.0,6.0,710.0,0,4,216,0,0,0
2024-08-23 15:26:53,8.0,Zaidster7,6c10d5ae-c1ba-433d-9380-8f6d8dc71d71,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1500,1508,2,Win,57.22,4906,5919,187,107,80,0.8,-0.66,12,1.0,0.0,8.0,0.0,0.0,0.0,0.0,15,7,0,0,3,0,0,19.0,19.0,1600.0,0,7,758,1,0,0
2024-08-23 15:45:23,8.0,Zaidster7,d6c099aa-8fa9-4ed2-b24a-73436b358576,Recharge - Ranked,Slayer,Ranked Arena,1508,1500,5,Loss,45.97,3606,3782,124,57,67,1.0,1.33,12,1.0,0.0,9.0,0.0,0.0,0.0,4.0,12,4,0,0,7,0,0,13.0,12.0,1440.0,0,8,487,0,1,0
2024-08-23 21:27:59,8.0,Zaidster7,41fc73b7-e5c7-4a2f-8d29-a34c7b207625,Aquarius - Ranked,CTF,Ranked Arena,1500,1494,6,Loss,61.09,7058,7741,257,157,100,0.84,-0.66,21,4.0,2.0,13.0,0.0,0.0,0.0,1.0,25,10,0,0,3,0,0,17.0,21.0,2685.0,0,6,760,0,1,0
2024-08-23 21:42:38,8.0,Zaidster7,3d50b000-f27e-42b7-a180-d727dfe220dd,Aquarius - Ranked,CTF,Ranked Arena,1494,1487,7,Loss,60.38,6413,6703,212,128,84,1.1,4.0,23,1.0,1.0,19.0,0.0,0.0,0.0,0.0,21,6,0,0,3,0,0,19.0,19.0,2720.0,0,6,746,0,1,0
2024-08-23 21:56:04,8.0,Zaidster7,cd48f6b1-2856-4a96-b564-781309f3b4d2,Interference,Slayer,Ranked Arena,1487,1496,3,Win,58.23,4703,3382,158,92,66,1.5,6.66,12,1.0,0.0,11.0,2.0,0.0,0.0,2.0,8,8,0,0,4,0,0,14.0,12.0,1620.0,0,7,504,1,0,0
2024-08-23 22:05:04,8.0,Zaidster7,928a618c-a178-410b-a4ae-5a6902d3c42c,Streets - Ranked,Oddball,Ranked Arena,1496,1506,1,Win,65.22,6373,4265,184,120,64,2.67,18.33,24,5.0,1.0,15.0,0.0,0.0,0.0,0.0,9,10,0,0,6,0,0,17.0,14.0,3505.0,0,13,571,1,0,0
2024-08-23 22:16:50,8.0,Zaidster7,9b181e74-7516-4d4b-a19a-8a07d7399e51,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1506,1500,5,Loss,59.5,5880,6304,200,119,81,0.71,-3.66,15,2.0,2.0,9.0,2.0,0.0,0.0,1.0,21,7,0,0,5,0,0,19.0,20.0,2230.0,0,6,769,0,1,0
2024-08-23 22:34:44,8.0,Zaidster7,98520e41-22a0-4a28-b0e7-c1ce5d7f8968,Interference,King of the Hill,Ranked Arena,1500,1500,8,Loss,61.36,5089,5593,176,108,68,0.9,0.33,18,2.0,0.0,13.0,0.0,0.0,0.0,1.0,20,7,0,0,3,0,0,18.0,16.0,2310.0,0,8,625,0,1,0
2024-08-23 22:56:54,8.0,Zaidster7,87895c39-9a3e-44fb-983c-bea4cd56be89,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1500,1500,5,Loss,55.56,2823,3446,108,60,48,0.58,-4.66,7,1.0,0.0,6.0,2.0,0.0,0.0,1.0,12,1,0,1,2,0,0,12.0,12.0,1040.0,0,3,480,0,1,0
