Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2022-01-06 02:57:12",1,1,"l 0cty l",aee18ae4-45c3-4cbb-8927-ac50e5e42908,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,1114,1113,,,,,,,,,,,,,5,,,,,Loss,45.92,4309,4953,490,225,265,0.71,-3.00,12,,,,,,,,17,6,0,0,3,0,0,,,,0,3,807
"2022-01-06 03:12:41",1,1,"l 0cty l",5349d90a-f853-48ea-9b03-7d83e8eb5cb1,Bazaar,CTF,"Ranked Arena",Controller,Solo/Duo,1113,1112,,,,,,,,,,,,,5,,,,,Loss,34.27,3044,3922,464,159,305,0.64,-4.33,9,,,,,,,,14,2,0,0,2,0,0,,,,0,5,521
"2022-01-06 03:23:15",1,1,"l 0cty l",0c3c00ca-3cbe-4779-a1d8-c359b87d16cc,Bazaar,Slayer,"Ranked Arena",Controller,Solo/Duo,1112,1111,,,,,,,,,,,,,7,,,,,Loss,41.29,3122,3231,373,154,219,0.70,-2.00,7,,,,,,,,10,3,0,0,2,0,0,,,,0,0,558
"2022-01-06 03:36:16",1,1,"l 0cty l",5d760955-2a59-4472-b11f-f60f26399708,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,1111,1125,,,,,,,,,,,,,3,,,,,Win,50,3407,2261,354,177,177,1.83,5.67,11,,,,,,,,6,2,0,0,5,0,0,,,,0,3,516
"2022-01-06 03:46:17",1,1,"l 0cty l",6e97904c-3a66-45f9-a43f-905066b60752,Aquarius,CTF,"Ranked Arena",Controller,Solo/Duo,1125,1126,,,,,,,,,,,,,3,,,,,Win,48.41,869,844,126,61,65,0.50,-0.33,1,,,,,,,,2,2,0,0,1,0,0,,,,0,0,328
"2022-01-06 03:53:11",1,1,"l 0cty l",e4fb0003-3dc1-4fb4-a0e5-61ffaa7f3ebc,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,1126,1125,,,,,,,,,,,,,5,,,,,Loss,52.23,6213,6183,515,269,246,1.00,3.33,19,,,,,,,,19,10,0,0,5,0,0,,,,0,9,930
"2022-01-06 04:10:21",1,1,"l 0cty l",380ef217-9b2c-4d8d-b0ff-d7217efd33e6,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,1125,1125,,,,,,,,,,,,,4,,,,,Loss,53.88,6195,5751,529,285,244,1.41,9.67,24,,,,,,,,17,8,1,1,5,0,0,,,,0,12,839
"2022-01-06 04:27:20",1,1,"l 0cty l",e15393e1-9e67-4b7b-ab6e-e63c26be0cc6,Bazaar,CTF,"Ranked Arena",Controller,Solo/Duo,1125,1139,,,,,,,,,,,,,3,,,,,Win,50.5,3795,2754,398,201,197,1.50,5.67,12,,,,,,,,8,5,0,0,5,0,0,,,,0,3,582
"2022-01-06 04:38:45",1,1,"l 0cty l",b7fc8592-b528-4dc8-a494-2bdcb5fc4854,Streets,Strongholds,"Ranked Arena",Controller,Solo/Duo,1139,1153,,,,,,,,,,,,,1,,,,,Win,54.86,4874,4045,432,237,195,1.00,2.00,15,,,,,,,,15,6,0,0,6,0,0,,,,0,7,593
"2022-01-06 04:50:22",1,1,"l 0cty l",d6e6188d-92b0-4edc-a1f3-cc89e6aa2648,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,1153,1153,,,,,,,,,,,,,5,,,,,Loss,66.22,2937,3312,222,147,75,1.00,0.33,9,,,,,,,,9,1,0,0,5,0,0,,,,0,5,340
"2022-01-06 04:58:19",1,1,"l 0cty l",c5debb99-448f-49c5-bb50-5d05d0bbd33a,Bazaar,CTF,"Ranked Arena",Controller,Solo/Duo,1153,1138,,,,,,,,,,,,,6,,,,,Left,70.37,339,81,27,19,8,0.00,0.00,0,,,,,,,,0,0,0,0,0,0,0,,,,0,0,425
