Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-21 04:07:55",1,1,"l Jordo l",38bf3f53-25b6-4f71-86b0-ae753fdb0785,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1070,1070,,,,,,,,,,,,,8,,,,,Loss,55.8,3144,2832,276,154,122,0.89,0.00,8,,,,,,,,9,3,0,0,5,0,0,,,,0,5,435
"2021-11-21 04:16:25",1,1,"l Jordo l",cc4626f8-8994-48be-bc63-d8a9eff6391c,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1070,1070,,,,,,,,,,,,,5,,,,,Loss,55.98,3380,3273,343,192,151,0.83,-1.33,10,,,,,,,,12,2,0,0,2,0,0,,,,0,2,453
"2021-11-21 04:26:01",1,1,"l Jordo l",2f5293d1-20d7-4091-810a-c6e97eb67e42,Bazaar,Slayer,"Ranked Arena",CrossPlay,Open,1070,1070,,,,,,,,,,,,,6,,,,,Loss,38.07,2832,2913,436,166,270,1.13,1.67,9,,,,,,,,8,2,0,0,3,0,0,,,,0,3,547
"2021-11-21 04:36:33",1,1,"l Jordo l",ff4321ba-b68e-4ea2-a54c-116839d85c59,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1070,1085,,,,,,,,,,,,,3,,,,,Win,45.56,3007,2028,349,159,190,2.80,10.67,14,,,,,,,,5,5,0,0,5,0,0,,,,0,7,379
"2021-11-21 04:44:20",1,1,"l Jordo l",330d8bb2-028e-4cec-8881-cc3d84a618e4,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,1085,1085,,,,,,,,,,,,,5,,,,,Loss,45.83,6001,4299,611,280,331,1.62,8.67,21,,,,,,,,13,2,0,0,4,0,0,,,,0,8,700
"2021-11-21 04:57:33",1,1,"l Jordo l",28ae4237-2b32-4bda-9c98-2ce3c6c9ddea,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1085,1100,,,,,,,,,,,,,7,,,,,Loss,52.29,8415,7506,828,433,395,1.45,14.33,32,,,,,,,,22,13,0,0,5,0,0,,,,0,11,987
"2021-11-21 05:15:14",1,1,"l Jordo l",8c91dfce-6fae-4579-817d-444849bc2aed,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1100,1100,,,,,,,,,,,,,7,,,,,Loss,51.94,7244,5522,695,361,334,1.45,12.67,29,,,,,,,,20,11,0,0,5,0,0,,,,0,15,776
"2021-11-21 05:29:56",1,1,"l Jordo l",67f2acd4-4994-491e-bab2-5c58fc23810a,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,1100,1100,,,,,,,,,,,,,5,,,,,Loss,54.01,3777,3690,411,222,189,1.00,1.67,12,,,,,,,,12,5,0,0,5,0,0,,,,0,7,561
"2021-11-21 05:40:43",1,1,"l Jordo l",9edaecce-ba3c-4449-b051-93aa68f55876,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,1103,1103,,,,,,,,,,,,,5,,,,,Left,0,0,0,0,0,0,0.00,0.00,0,,,,,,,,0,0,0,0,0,0,0,,,,0,0,639
"2021-11-21 05:42:33",1,1,"l Jordo l",ca0b1884-4c61-41e9-883a-d118b1bfb4c3,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,1100,1103,,,,,,,,,,,,,2,,,,,Win,45.47,3725,3389,464,211,253,1.30,5.00,13,,,,,,,,10,6,0,0,2,0,0,,,,0,2,512
